SentID,Sentence,Lesson
88,この映画は面白そうです。,Lesson 8
89,もう昼ごはんを食べましたか？,Lesson 8
90,昨日、友達にプレゼントをもらいました。,Lesson 8
91,私は車を持っています。,Lesson 9
92,このレストランは安くておいしいです。,Lesson 9
93,音楽を聞きながら勉強します。,Lesson 9
94,毎朝、ジョギングをします。,Lesson 10
95,この本は読みやすいです。,Lesson 10
96,友達と一緒に買い物に行きました。,Lesson 10
97,試験が終わったら、旅行に行きたいです。,Lesson 11
98,お金があったら、新しいパソコンを買います。,Lesson 11
99,夏休みにどこかへ行きましたか？,Lesson 11
100,日本語の勉強は楽しいです。,Lesson 12
101,この料理は辛すぎます。,Lesson 12
102,昨日は頭が痛かったです。,Lesson 12
103,こんにちは。,Lesson 1
104,私は学生です。,Lesson 1
105,これは私の本です。,Lesson 2
106,すみません、それはいくらですか？,Lesson 2
107,私は昨日図書館に行きました。,Lesson 3
108,今日、映画を見ます。,Lesson 3
109,コーヒーを飲みませんか？,Lesson 3
110,どこで昼ごはんを食べましたか？,Lesson 4
111,週末に友達と遊びました。,Lesson 4
112,このバスはどこに行きますか？,Lesson 4
113,今、勉強しています。,Lesson 5
114,彼女は髪が長いです。,Lesson 5
115,私は泳ぐのが好きです。,Lesson 5
116,明日は天気がいいでしょう。,Lesson 6
117,すぐに薬を飲んだほうがいいですよ。,Lesson 6
118,先生に聞いたほうがいいですよ。,Lesson 6
119,コンビニでおにぎりを買いました。,Lesson 7
120,私は日本の文化に興味があります。,Lesson 7
121,京都へ旅行に行きました。,Lesson 7
122,この映画は面白そうです。,Lesson 8
123,もう昼ごはんを食べましたか？,Lesson 8
124,昨日、友達にプレゼントをもらいました。,Lesson 8
125,私は車を持っています。,Lesson 9
126,このレストランは安くておいしいです。,Lesson 9
127,音楽を聞きながら勉強します。,Lesson 9
128,毎朝、ジョギングをします。,Lesson 10
129,この本は読みやすいです。,Lesson 10
130,友達と一緒に買い物に行きました。,Lesson 10
131,試験が終わったら、旅行に行きたいです。,Lesson 11
132,お金があったら、新しいパソコンを買います。,Lesson 11
133,夏休みにどこかへ行きましたか？,Lesson 11
134,日本語の勉強は楽しいです。,Lesson 12
135,この料理は辛すぎます。,Lesson 12
136,昨日は頭が痛かったです。,Lesson 12
137,こんにちは。,Lesson 1
138,私は学生です。,Lesson 1
139,これは私の本です。,Lesson 2
140,すみません、それはいくらですか？,Lesson 2
141,私は昨日図書館に行きました。,Lesson 3
142,今日、映画を見ます。,Lesson 3
143,コーヒーを飲みませんか？,Lesson 3
144,どこで昼ごはんを食べましたか？,Lesson 4
145,週末に友達と遊びました。,Lesson 4
146,このバスはどこに行きますか？,Lesson 4
147,今、勉強しています。,Lesson 5
148,彼女は髪が長いです。,Lesson 5
149,私は泳ぐのが好きです。,Lesson 5
150,明日は天気がいいでしょう。,Lesson 6
151,すぐに薬を飲んだほうがいいですよ。,Lesson 6
152,先生に聞いたほうがいいですよ。,Lesson 6
153,コンビニでおにぎりを買いました。,Lesson 7
154,私は日本の文化に興味があります。,Lesson 7
155,京都へ旅行に行きました。,Lesson 7
156,この映画は面白そうです。,Lesson 8
157,もう昼ごはんを食べましたか？,Lesson 8
158,昨日、友達にプレゼントをもらいました。,Lesson 8
159,私は車を持っています。,Lesson 9
160,このレストランは安くておいしいです。,Lesson 9
161,音楽を聞きながら勉強します。,Lesson 9
162,毎朝、ジョギングをします。,Lesson 10
163,この本は読みやすいです。,Lesson 10
164,友達と一緒に買い物に行きました。,Lesson 10
165,試験が終わったら、旅行に行きたいです。,Lesson 11
166,お金があったら、新しいパソコンを買います。,Lesson 11
167,夏休みにどこかへ行きましたか？,Lesson 11
168,日本語の勉強は楽しいです。,Lesson 12
169,この料理は辛すぎます。,Lesson 12
170,昨日は頭が痛かったです。,Lesson 12
171,こんにちは。,Lesson 1
172,私は学生です。,Lesson 1
173,これは私の本です。,Lesson 2
174,すみません、それはいくらですか？,Lesson 2
175,私は昨日図書館に行きました。,Lesson 3
176,今日、映画を見ます。,Lesson 3
177,コーヒーを飲みませんか？,Lesson 3
178,どこで昼ごはんを食べましたか？,Lesson 4
179,週末に友達と遊びました。,Lesson 4
180,このバスはどこに行きますか？,Lesson 4
181,今、勉強しています。,Lesson 5
182,彼女は髪が長いです。,Lesson 5
183,私は泳ぐのが好きです。,Lesson 5
184,明日は天気がいいでしょう。,Lesson 6
185,すぐに薬を飲んだほうがいいですよ。,Lesson 6
186,先生に聞いたほうがいいですよ。,Lesson 6
187,コンビニでおにぎりを買いました。,Lesson 7
188,私は日本の文化に興味があります。,Lesson 7
189,京都へ旅行に行きました。,Lesson 7
190,この映画は面白そうです。,Lesson 8
191,もう昼ごはんを食べましたか？,Lesson 8
192,昨日、友達にプレゼントをもらいました。,Lesson 8
193,私は車を持っています。,Lesson 9
194,このレストランは安くておいしいです。,Lesson 9
195,音楽を聞きながら勉強します。,Lesson 9
196,毎朝、ジョギングをします。,Lesson 10
197,この本は読みやすいです。,Lesson 10
198,友達と一緒に買い物に行きました。,Lesson 10
199,試験が終わったら、旅行に行きたいです。,Lesson 11
200,お金があったら、新しいパソコンを買います。,Lesson 11
