SentID,Sentence,Lesson
122,先生が日本語を教えてくれました。,Lesson 17
123,両親は私を大学に行かせました。,Lesson 17
124,早く寝るようにしてください。,Lesson 18
125,もっと勉強するべきだと思います。,Lesson 18
126,彼は私に何も言わずに帰りました。,Lesson 18
127,この部屋は広くて明るいです。,Lesson 19
128,日本の文化について研究しています。,Lesson 19
129,先生がおっしゃったことを覚えていますか？,Lesson 19
130,明日、晴れるかどうか分かりません。,Lesson 20
131,アルバイトをしながら学校に通っています。,Lesson 20
132,あの人はいつも文句ばかり言っています。,Lesson 20
133,部長は今、会議中です。,Lesson 21
134,この仕事は私にやらせてください。,Lesson 21
135,来年、日本に留学する予定です。,Lesson 21
136,雨が降るのに、傘を持ってこなかった。,Lesson 22
137,明日は忙しいので、遊べません。,Lesson 22
138,宿題をしないで寝てしまいました。,Lesson 22
139,彼がどこにいるか知っていますか？,Lesson 23
140,母は私に料理をさせました。,Lesson 23
141,先生に質問してみました。,Lesson 23
142,日本語を勉強すれば、上手になります。,Lesson 24
143,もっと運動すれば、健康になりますよ。,Lesson 24
144,毎日復習するようにしています。,Lesson 24
145,日本へ行ったことがありますか？,Lesson 13
146,友達が新しい車を買ったそうです。,Lesson 13
147,寒くなりましたね。,Lesson 13
148,先生が言った通りにしてください。,Lesson 14
149,これは母が作ったケーキです。,Lesson 14
150,私はチョコレートを食べすぎました。,Lesson 14
151,もっと野菜を食べたほうがいいですよ。,Lesson 15
152,昨日、彼に振られてしまいました。,Lesson 15
153,明日からダイエットを始めることにしました。,Lesson 15
154,朝ごはんを食べないで学校へ行きました。,Lesson 16
155,この本は読み終わりましたか？,Lesson 16
156,部屋を掃除しなければなりません。,Lesson 16
157,彼女は私に手紙を送ってくれました。,Lesson 17
158,先生が日本語を教えてくれました。,Lesson 17
159,両親は私を大学に行かせました。,Lesson 17
160,早く寝るようにしてください。,Lesson 18
161,もっと勉強するべきだと思います。,Lesson 18
162,彼は私に何も言わずに帰りました。,Lesson 18
163,この部屋は広くて明るいです。,Lesson 19
164,日本の文化について研究しています。,Lesson 19
165,先生がおっしゃったことを覚えていますか？,Lesson 19
166,明日、晴れるかどうか分かりません。,Lesson 20
167,アルバイトをしながら学校に通っています。,Lesson 20
168,あの人はいつも文句ばかり言っています。,Lesson 20
169,部長は今、会議中です。,Lesson 21
170,この仕事は私にやらせてください。,Lesson 21
171,来年、日本に留学する予定です。,Lesson 21
172,雨が降るのに、傘を持ってこなかった。,Lesson 22
173,明日は忙しいので、遊べません。,Lesson 22
174,宿題をしないで寝てしまいました。,Lesson 22
175,彼がどこにいるか知っていますか？,Lesson 23
176,母は私に料理をさせました。,Lesson 23
177,先生に質問してみました。,Lesson 23
178,日本語を勉強すれば、上手になります。,Lesson 24
179,もっと運動すれば、健康になりますよ。,Lesson 24
180,毎日復習するようにしています。,Lesson 24
181,日本へ行ったことがありますか？,Lesson 13
182,友達が新しい車を買ったそうです。,Lesson 13
183,寒くなりましたね。,Lesson 13
184,先生が言った通りにしてください。,Lesson 14
185,これは母が作ったケーキです。,Lesson 14
186,私はチョコレートを食べすぎました。,Lesson 14
187,もっと野菜を食べたほうがいいですよ。,Lesson 15
188,昨日、彼に振られてしまいました。,Lesson 15
189,明日からダイエットを始めることにしました。,Lesson 15
190,朝ごはんを食べないで学校へ行きました。,Lesson 16
191,この本は読み終わりましたか？,Lesson 16
192,部屋を掃除しなければなりません。,Lesson 16
193,彼女は私に手紙を送ってくれました。,Lesson 17
194,先生が日本語を教えてくれました。,Lesson 17
195,両親は私を大学に行かせました。,Lesson 17
196,早く寝るようにしてください。,Lesson 18
197,もっと勉強するべきだと思います。,Lesson 18
198,彼は私に何も言わずに帰りました。,Lesson 18
199,この部屋は広くて明るいです。,Lesson 19
200,日本の文化について研究しています。,Lesson 19
