SentID,Sentence,Proficiency Level
84,新しい環境に慣れるには、それなりの時間がかかるものだ。 [N2],N2
85,この仕事を引き受けた以上、最後までやり遂げるつもりだ。 [N2],N2
86,試験の結果が悪かったとしても、落ち込むことはない。 [N2],N2
87,この問題は、専門家の意見を聞いてから決めるべきだ。 [N2],N2
88,彼の話し方からして、本当に困っているように思えた。 [N2],N2
89,この機会を逃したら、次はいつ来るかわからない。 [N2],N2
90,彼の考え方には賛成できないものの、一理あると思う。 [N2],N2
91,会議の途中で、彼は急用ができたとかで席を立った。 [N2],N2
92,明日の天気次第では、遠足を中止する可能性がある。 [N2],N2
93,彼女の努力は、報われるに違いない。 [N2],N2
94,この部屋は狭いわりに、家具の配置が工夫されている。 [N2],N2
95,彼のミスはあったとはいえ、責めるべきではないだろう。 [N2],N2
96,今さら謝られたところで、もうどうにもならない。 [N2],N2
97,あの映画は評判が高かっただけに、期待外れだった。 [N2],N2
98,試験の結果が悪かったことに対して、彼は驚きを隠せなかった。 [N2],N2
99,彼の提案には賛成しかねるが、考える余地はある。 [N2],N2
100,この問題に関しては、十分な検討が必要だ。 [N2],N2
